name;sku;price;quantity;description
Hand Sanitizer;68957-1092;54428;43;Bypass Left Axillary Artery to Bilateral Lower Arm Artery with Synthetic Substitute, Open Approach
Rolaids Regular Strength- Cherry;41167-1006;19966;26;Removal of Autologous Tissue Substitute from Left Radius, Open Approach
Cyzone;13537-300;589417;52;Removal of Autologous Tissue Substitute from Upper Intestinal Tract, Via Natural or Artificial Opening
Methocarbamol;55154-1499;149381;35;Replacement of Left External Ear with Autologous Tissue Substitute, Open Approach
health mart allergy complete;62011-0054;705776;38;Contact Radiation of Pelvic Bones
Australian Gold;58443-0030;476371;57;Removal of Synthetic Substitute from Upper Tendon, Percutaneous Approach
CVS Simple Care Protective Rash;59779-142;369484;37;Bypass Left Ventricle to Abdominal Artery, Open Approach
Topcare Antacid;36800-851;949867;4;Change Other Device in Diaphragm, External Approach
Naproxen;16590-163;38856;30;Imaging, Urinary System, Plain Radiography
Marcaine;52125-249;233478;4;Destruction of Left Neck Lymphatic, Percutaneous Approach
NAUSEA;64117-299;631879;36;Supplement Bladder with Autologous Tissue Substitute, Open Approach
Theochem Foaming Hand Sanitizer;68878-118;633445;92;Beam Radiation of Thymus using Electrons
DG BODY;55910-724;247497;77;Bypass Left External Iliac Artery to Right Femoral Artery, Open Approach
Atopalm Acne Controlling;51141-7000;397736;83;Replacement of Right Sacroiliac Joint with Autologous Tissue Substitute, Open Approach
Allergy Relief;55301-190;404639;56;Change Brace on Left Upper Arm
24-Hour All Day Allergy;62011-0052;861528;4;Drainage of Lingula Bronchus with Drainage Device, Via Natural or Artificial Opening
Childrens Ibuprofen;55319-125;902004;78;Extirpation of Matter from Left Nipple, Via Natural or Artificial Opening
Adult Long Lasting-Cough Relief;68016-026;75486;42;Dilation of Right Hand Artery with Drug-eluting Intraluminal Device, Open Approach
Promethazine with Codeine;49999-152;273179;47;Supplement Soft Palate with Nonautologous Tissue Substitute, Open Approach
Warfarin Sodium;65841-059;219796;31;Removal of Synthetic Substitute from Right Tarsal Joint, Percutaneous Approach
Careone Extra Strength Cold and Hot;41520-871;240803;47;Detachment at Left 2nd Toe, Mid, Open Approach
Risperidone;62756-633;949976;56;Extirpation of Matter from Paraganglion Extremity, Percutaneous Approach
FENTANYL CITRATE;52533-024;49087;6;Destruction of Right Lower Lung Lobe, Open Approach
BECONASE;54569-1729;755972;6;Destruction of Cervix, Via Natural or Artificial Opening
ISOSORBIDE DINITRATE;57664-600;235224;8;Resection of Right Hand Muscle, Open Approach
GEMCITABINE;47335-153;870883;64;Excision of Ileum, Via Natural or Artificial Opening Endoscopic, Diagnostic
dg health all day allergy;55910-458;877569;74;Supplement Bilateral Seminal Vesicles with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Divalproex Sodium;51079-474;646945;54;High Dose Rate (HDR) Brachytherapy of Ileum using Californium 252 (Cf-252)
Topiramate;59115-124;733728;9;Traction of Left Toe using Traction Apparatus
Duet DHA;76331-810;904896;65;Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery, Percutaneous Endoscopic Approach
Gabapentin;49349-924;679747;29;Supplement Left Breast with Nonautologous Tissue Substitute, External Approach
Hydrocortisone Maximum Strength Plus 12 Moisturizers;30142-341;123539;89;Replacement of Left Thyroid Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Ticlopidine hydrochloride;60505-0027;375136;28;Occlusion of Left Radial Artery, Percutaneous Approach
Metformin Hydrochloride;51655-561;93486;81;Supplement Lower Lip with Autologous Tissue Substitute, External Approach
ROBITUSSIN NIGHT TIME COUGH AND COLD;0031-8698;424333;33;Fusion of Left Finger Phalangeal Joint with Autologous Tissue Substitute, Percutaneous Approach
Olive Pollen;36987-2903;988004;79;Supplement Right Fibula with Synthetic Substitute, Percutaneous Endoscopic Approach
Furosemide;52584-052;196635;3;Bypass Right Subclavian Artery to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
BRIGHTER BY NATURE SPF 30 CORRECTING MAKEUP BROAD SPECTRUM;59427-009;710518;26;Transfusion of Nonautologous Hematopoietic Stem Cells into Peripheral Artery, Open Approach
Sulfamylon;51079-623;660742;4;Removal of Radioactive Element from Vagina and Cul-de-sac, Via Natural or Artificial Opening Endoscopic
Flawless Effect Liquid Foundation SPF 15;57627-113;341598;88;Revision of Feeding Device in Lower Intestinal Tract, Percutaneous Endoscopic Approach
NightTime Cold and Flu;59995-001;761278;87;Bypass Right External Iliac Vein to Lower Vein with Autologous Arterial Tissue, Open Approach
Glipizide;61786-043;3823;37;Excision of Left Adrenal Gland, Open Approach
Inderal;24090-473;328232;78;Supplement Hyoid Bone with Nonautologous Tissue Substitute, Open Approach
Little Fevers Childrens Fever Pain Reliever;63029-603;190914;56;Restriction of Right Axillary Lymphatic with Intraluminal Device, Open Approach
Pollens - Weeds, Kochia scoparia;65044-1781;566326;32;Replacement of Left Elbow Joint with Autologous Tissue Substitute, Open Approach
Tolnaftate;11673-586;801376;36;Supplement Right Humeral Head with Autologous Tissue Substitute, Percutaneous Approach
PREDNISONE;16590-624;270953;31;Extirpation of Matter from Oculomotor Nerve, Open Approach
Psoriasin;52389-627;278268;52;Removal of Cast on Left Lower Leg
Bicalutamide;60429-226;699442;22;Plain Radiography of Bilateral Vertebral Arteries using Other Contrast
Fludarabine;63323-196;932979;84;Beam Radiation of Pineal Body using Photons >10 MeV
Indomethacin;52125-716;638955;97;Excision of Right Vocal Cord, Open Approach
Rocky Mountain Juniper;36987-2704;682763;44;Supplement Right Tarsal Joint with Nonautologous Tissue Substitute, Percutaneous Approach
ALOEGUARD ANTIMICROBIAL;63843-509;566012;83;Revision of Internal Fixation Device in Lumbar Vertebra, Open Approach
Homeopathic Hemorrhoid;10578-017;464508;48;Drainage of Left Upper Eyelid, Open Approach, Diagnostic
acid reducer 150;21130-950;793452;21;Reposition Left Upper Eyelid, External Approach
ARNICAID;54973-0229;51592;89;Drainage of Right Temporal Artery, Percutaneous Approach, Diagnostic
Nasal;0113-2304;856582;100;Contact Radiation of Rib(s)
Caduet;54868-3287;871992;23;Release Right Neck Muscle, External Approach
Oxcarbazepine;49349-688;224185;17;Occlusion of Left Axillary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
moisturising sunscreen;42315-672;440052;24;Restriction of Thorax Lymphatic, Open Approach
PredniSONE;0615-6516;473825;88;Reattachment of Lower Tooth, Single, Open Approach
Naratriptan;0093-8523;423558;67;Supplement Sternum with Synthetic Substitute, Open Approach
Ginseng Khan;42707-3001;697920;27;Revision of External Fixation Device in Left Metacarpocarpal Joint, External Approach
ULTRASOL;59886-304;153340;56;Revision of Monitoring Device in Peripheral Nerve, External Approach
triamcinolone acetonide;42254-176;344329;35;Excision of Left Extraocular Muscle, Open Approach
Ropinirole;0054-0122;58258;91;Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach
citalopram hydrobromide;53808-1038;264762;92;Restriction of Mesenteric Lymphatic with Extraluminal Device, Open Approach
Calcarea Carbonic 30c;76472-1136;140596;68;Restriction of Right Axillary Artery with Extraluminal Device, Percutaneous Approach
LACURA;64024-969;607520;5;Excision of Right Upper Leg Muscle, Percutaneous Approach
Glytone acne treatment facial cleanser;64760-219;352156;100;Dilation of Left Foot Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Diamond White Brightening Shield Treatment Cream;63730-292;794440;14;Bypass Left Common Iliac Vein to Lower Vein with Nonautologous Tissue Substitute, Open Approach
Sulfamethoxazole and Trimethoprim;0093-0089;809908;95;Revision of Spacer in Occipital-cervical Joint, Percutaneous Approach
Lemon Quince Allergy Relief;48951-6024;717477;24;Reposition Cecum, External Approach
RANITIDINE;68084-577;650421;52;Systemic Nuclear Medicine Therapy of Whole Body using Phosphorus 32 (P-32)
Lisinopril;0603-4214;220834;98;Computerized Tomography (CT Scan) of Bilateral Eyes
MS Contin;59011-260;389285;81;Insertion of Cardiac Lead into Right Atrium, Percutaneous Endoscopic Approach
Freshorize;52305-200;19698;100;Dilation of Anus with Intraluminal Device, Percutaneous Endoscopic Approach
INSOMNIA RELIEF;60512-0011;738847;36;Removal of Monitoring Device from Bladder, Percutaneous Endoscopic Approach
JAKAFI;50881-025;183853;29;Fluoroscopy of Epidural Veins using Low Osmolar Contrast, Guidance
ClindaMax Lotion;0462-0391;442156;1;Lymphatic and Hemic Systems, Destruction
Cyclo/Mag 10mg/200mg;64038-630;491270;96;Insertion of External Fixation Device into Right Upper Femur, Percutaneous Approach
Atenolol;62584-467;453726;69;Removal of Nonautologous Tissue Substitute from Facial Bone, Percutaneous Approach
Natural FX;68327-002;927838;87;Insertion of Hybrid External Fixation Device into Left Ulna, Percutaneous Approach
Exelon;54868-5240;55276;80;Destruction of Right Superior Parathyroid Gland, Percutaneous Approach
Walgreens Anti-Sagging and Ultra Hydrating Day Broad Spectrum SPF15 Sunscreen;0363-9688;189073;69;Release Thorax Lymphatic, Open Approach
Podophyllum Pelt Kit Refill;68428-156;787000;96;Occlusion of Left Internal Mammary Artery with Extraluminal Device, Percutaneous Approach
Teething - Colic;55714-1709;773979;28;Repair Left Upper Leg Tendon, Percutaneous Endoscopic Approach
Folbic;0615-7575;827848;57;Extirpation of Matter from Left External Auditory Canal, External Approach
Chewable Adult Low Dose Aspirin;68163-081;729010;99;Laser Interstitial Thermal Therapy of Anus
Oxy Maximum Action Spot Treatment;10742-8301;85366;6;Extirpation of Matter from Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach
Anti-Bacterial Hand;62670-4833;294138;19;Insertion of Intraluminal Device into Right Common Iliac Vein, Percutaneous Endoscopic Approach
Guaifenesin and Codeine Phosphate;68258-8904;222489;58;Revision of Nonautologous Tissue Substitute in Upper Bursa and Ligament, Percutaneous Approach
Assured Gas Relief Extra Strength;33992-0113;654986;26;Supplement Right Elbow Region with Nonautologous Tissue Substitute, Open Approach
Terrestristat;44911-0087;418963;74;Destruction of Left Thumb Phalanx, Percutaneous Endoscopic Approach
Acyclovir;63629-1677;192145;26;Supplement Right Radial Artery with Autologous Tissue Substitute, Open Approach
MEDI-FIRST PLUS Ibuprofen;47682-929;297791;91;Transfer Left Abdomen Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach
Rite Aid Instant Hand Sanitizer With Moisturizers;11822-1000;589357;43;Plain Radiography of Right Subclavian Vein using High Osmolar Contrast
Atenolol;42254-107;968062;6;Transfer Facial Nerve to Glossopharyngeal Nerve, Open Approach
Air;50063-003;277594;94;Restriction of Middle Esophagus with Intraluminal Device, Open Approach
Necon 0,5/35;42254-287;597254;80;Insertion of Infusion Device into Left Vertebral Vein, Percutaneous Approach
Eggs and Meats Intolerances;57955-0723;720664;83;Excision of Right Hand Subcutaneous Tissue and Fascia, Open Approach, Diagnostic
Carvedilol;55154-1389;26244;82;Detachment at Right Hindquarter, Open Approach
Night Time Cherry;55910-113;441797;10;Low Dose Rate (LDR) Brachytherapy of Larynx using Californium 252 (Cf-252)
procure;55681-211;220840;56;Destruction of Cervical Spinal Cord, Open Approach
Cleocin Phosphate;0009-0775;62800;30;Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Anterior Approach, Anterior Column, Open Approach
AVAPRO;63629-3373;680005;100;Dilation of Superior Mesenteric Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
MAJOR ULTRA STRENGTH GAS RELIEF;0904-5572;374780;65;Reattachment of Left Hip Tendon, Percutaneous Endoscopic Approach
COBROXIN;47219-104;959793;90;Occlusion of Esophagus with Extraluminal Device, Percutaneous Endoscopic Approach
Cold-EEZE;61941-0227;872488;35;Beam Radiation of Lung using Electrons
Sleep Aid;42507-441;278300;62;Computerized Tomography (CT Scan) of Bilateral Orbits using High Osmolar Contrast
loperamide hydrochloride;41250-645;746413;67;Bypass Right Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
good sense lice treatment;0113-0955;220986;94;Removal of Internal Fixation Device from Left Sternoclavicular Joint, Percutaneous Approach
CAPTOPRIL;33261-182;623870;32;Magnetic Resonance Imaging (MRI) of Right Ovary using Other Contrast
SPAI-SONS;66854-018;541436;31;Planar Nuclear Medicine Imaging of Bone Marrow using Indium 111 (In-111)
Good Neighbor Pharmacy Ibuprofen Cold and Sinus;24385-465;64081;98;Occlusion of Left Radial Artery with Extraluminal Device, Percutaneous Endoscopic Approach
topiramate;65841-647;308695;73;Removal of Synthetic Substitute from Right Tibia, Percutaneous Approach
Hair Regrowth Treatment for Men;55301-094;470444;65;Reposition Left Foot Muscle, Open Approach
Ibuprofen;55154-0741;991450;8;Supplement Anus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Topiramate;65862-174;684502;37;Computerized Tomography (CT Scan) of Head using Other Contrast, Unenhanced and Enhanced
Zolpidem Tartrate;55154-5080;393039;38;Replacement of Pelvic Region Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach
rexall anti diarrheal;55910-700;406465;7;Drainage of Right Thorax Tendon, Open Approach
VeraSeptine Multipurpose Moisture Barrier;61598-200;897262;82;Bypass Right External Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach
Zolpidem Tartrate;68084-200;661297;53;Plain Radiography of Renal Artery Transplant using High Osmolar Contrast
Allopurinol;55154-0671;727370;65;Insertion of Infusion Device into Portal Vein, Percutaneous Approach
Topical;50436-9990;152004;2;Dilation of Left Ulnar Artery with Drug-eluting Intraluminal Device, Open Approach
Prax Wipe;0496-0749;462367;95;Destruction of Bilateral Lungs, Open Approach
antacid;37012-357;891857;45;Transfusion of Nonautologous Globulin into Peripheral Vein, Percutaneous Approach
Old Spice;37000-385;213931;67;Excision of Left Mastoid Sinus, Open Approach
LivSport;42903-004;762159;80;Beam Radiation of Abdomen Lymphatics using Electrons, Intraoperative
Pollens - Grasses, Johnson Grass Sorghum halepense;65044-1744;485602;42;Revision of Drainage Device in Sinus, Percutaneous Endoscopic Approach
Rimmel London;59351-0302;316896;87;Division of Perineum Subcutaneous Tissue and Fascia, Percutaneous Approach
Oxygen;10690-001;902531;45;Repair Right Pulmonary Vein, Percutaneous Endoscopic Approach
Zolpidem Tartrate;63739-526;792116;30;Revision of Interbody Fusion Device in Occipital-cervical Joint, Percutaneous Approach
Pioglitazone and Metformin Hydrocholride;42291-693;530020;57;Reposition Left Shoulder Joint, Percutaneous Endoscopic Approach
Doans;55741-224;623109;17;Dilation of Left Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Motion Medicine;50963-809;350176;46;Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Antimicrobial Hand Sanitizer;51811-363;815949;86;Destruction of Inferior Vena Cava, Percutaneous Endoscopic Approach
Lidocaine Hydrochloride and Epinephrine;52125-612;88388;18;Repair Left Vocal Cord, Percutaneous Approach
Ciprofloxacin;67296-0579;93995;91;Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Open Approach
COREG;68151-5048;269524;2;Release Stomach, Pylorus, Via Natural or Artificial Opening
Cefdinir;68180-723;107401;78;Reattachment of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach
Namenda;63629-5291;538402;4;Excision of Right Shoulder Tendon, Percutaneous Endoscopic Approach
Salmon;36987-1246;389891;45;Replacement of Aortic Valve using Zooplastic Tissue, Rapid Deployment Technique, Percutaneous Approach, New Technology Group 2
SkinTx Acne Treatment;67226-2050;156111;23;Excision of Urethra, Percutaneous Endoscopic Approach
Ibuprofen;30142-121;893181;36;Excision of Anus, External Approach
Naproxen;24236-995;253281;31;Introduction of Oxazolidinones into Mouth and Pharynx, Via Natural or Artificial Opening
Metolazone;63739-404;381982;40;Dilation of Left Thyroid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Hepar Sulphuris Calcareum 30c;76472-1144;254376;33;Extirpation of Matter from Left Wrist Joint, Percutaneous Endoscopic Approach
Bupropion Hydrochloride;67046-044;60810;88;Drainage of Right Axillary Vein with Drainage Device, Percutaneous Approach
equaline miconazole 1;41163-916;595410;24;Excision of Left Internal Mammary Artery, Percutaneous Approach
Suphedrine PE Sinus and Allergy;55301-462;461018;63;Dilation of Intracranial Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Reglan;62559-166;647521;49;Replacement of Face Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
HydrALAZINE Hydrochloride;59556-008;339613;81;Destruction of Anal Sphincter, Percutaneous Endoscopic Approach
BUTALBITAL, ACETAMINOPHEN AND CAFFEINE;16590-581;405448;21;Introduction of Platelet Inhibitor into Peripheral Artery, Percutaneous Approach
Melaleuca Pollen;49643-380;242269;69;Mental Health, Biofeedback
LEVOXYL;54868-4536;912078;85;Release Left Ethmoid Sinus, Open Approach
Zanosar;0703-4636;204085;8;Supplement Left Tympanic Membrane with Autologous Tissue Substitute, Open Approach
ELIGARD;0024-0610;644870;24;Supplement Left Lower Arm and Wrist Tendon with Nonautologous Tissue Substitute, Open Approach
MERCURIUS VIVUS;54973-0620;343095;24;Division of Right Upper Femur, Open Approach
Influenza Remedy;57520-0920;116636;16;Dilation of Left Brachial Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Pineapple Orange Antibacterial Foaming Hand Wash;43269-670;950423;99;Extirpation of Matter from Buccal Mucosa, Percutaneous Approach
CARBO VEGETABILIS;60512-1011;539227;20;Supplement Left Elbow Joint with Autologous Tissue Substitute, Open Approach
Halls;12546-223;699307;1;Bypass Transverse Colon to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
LBEL EFFET PARFAIT Polvos Compactos de Larga Duracion para rostro FPS 15 /Long Lasting Compact SPF 15;13537-408;738297;82;Restriction of Right Internal Carotid Artery with Intraluminal Device, Open Approach
Promethazine Hydrochloride;54569-1754;595122;40;Supplement Right Buttock with Synthetic Substitute, Percutaneous Endoscopic Approach
IBUPROFEN;12634-171;614259;48;Occlusion of Left Face Vein with Extraluminal Device, Percutaneous Endoscopic Approach
Aciphex;54868-4185;411613;11;Drainage of Left Thorax Tendon, Percutaneous Endoscopic Approach, Diagnostic
DG Health cold multi symptom;55910-014;949953;10;Release Left Shoulder Muscle, External Approach
Famotidine;49349-546;409794;89;Fusion of Left Metacarpophalangeal Joint, Percutaneous Endoscopic Approach
TUMS;0135-0140;604461;22;Fluoroscopy of Right Humerus
Alprazolam;33261-500;263724;88;Excision of Cervix, Via Natural or Artificial Opening Endoscopic, Diagnostic
Furosemide;67253-541;177440;64;Insertion of Infusion Device into Right Renal Vein, Percutaneous Endoscopic Approach
Womens Mitchum Clinical Antiperspirant Deodorant;10967-595;40558;4;Repair Hymen, Open Approach
Air;12213-700;938188;16;Insertion of Internal Fixation Device into Left Rib, Open Approach
PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN;68084-393;73945;78;Introduction of Oxazolidinones into Male Reproductive, Via Natural or Artificial Opening
Anti-Aging Hydra Tint SPF 20 Shade 40;68026-544;597615;30;Synthetic Sentence Identification Assessment using Cochlear Implant Equipment
Lung Detox;27281-011;198279;36;Dilation of Left Hepatic Duct, Percutaneous Endoscopic Approach
Eszopiclone;42291-271;866125;53;Insertion of Internal Fixation Device into Lumbosacral Joint, Open Approach
Demeclocycline Hydrochloride;68151-0155;471550;74;Drainage of Right Hand, Open Approach
Topiramate;0832-1073;363286;5;Replacement of Left Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Approach
Hydrocortisone;63941-312;495002;71;Dilation of Right Femoral Artery, Bifurcation, Open Approach
PURELL Advanced Instant Hand Sanitizer;21749-807;176107;52;Fusion of Right Wrist Joint with External Fixation Device, Percutaneous Approach
Lamivudine and Zidovudine;43063-346;87489;78;Coordination/Dexterity Assessment of Neurological System - Upper Back / Upper Extremity
Arnica;57520-0440;570791;59;Drainage of Right Vocal Cord, Via Natural or Artificial Opening
Lotensin HCT;30698-453;64981;75;Occlusion of Ductus Arteriosus with Intraluminal Device, Percutaneous Endoscopic Approach
Pantoprazole Sodium Delayed Release;51655-500;766695;57;Beam Radiation of Chest Skin using Electrons
IZUNRINSE;49589-103;435027;97;Reattachment of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach
Lamotrigine;51079-866;401318;62;Dilation of Face Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Treatment Set TS350905;49288-0944;14196;2;Change Bandage on Right Upper Arm
3 Heart;50181-0020;101699;3;Insertion of Internal Fixation Device into Right Mandible, Percutaneous Approach
Propranolol Hydrochloride;63629-1842;791437;89;Removal of Nonautologous Tissue Substitute from Left Metatarsal, Percutaneous Approach
Synthroid;54569-0908;750070;15;Hyperthermia of Pelvic Bones
Zinc Sulfate;0517-8105;518162;34;Bypass Right Common Iliac Vein to Lower Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Anti Dandruff;61995-1106;549441;13;Supplement Left Face Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
RIVASTIGMINE TARTRATE;33342-091;319844;32;Grooming/Personal Hygiene Treatment using Assistive, Adaptive, Supportive or Protective Equipment
Sei Bella Age-Defying Liquid Foundation;54473-239;562304;35;Measurement of Biliary Pressure, Percutaneous Approach
Doxazosin;49999-206;886063;99;Inspection of Left Lens, External Approach
Lubricant / Redness Reliever;11822-3025;348822;1;Replacement of Right Lacrimal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach
Ropinirole;60505-2866;936398;64;Introduction of Electrolytic and Water Balance Substance into Central Vein, Percutaneous Approach
Doxycycline Hyclate;0591-5440;740973;76;Revision of Autologous Tissue Substitute in Bladder, External Approach
Life Extension Sun Protection SPF 30;76021-100;828018;95;Reposition Left Upper Femur with Monoplanar External Fixation Device, Open Approach
Methocarbamol;54569-5966;709501;36;Bypass Lower Esophagus to Stomach, Open Approach
Diltiazem Hydrochloride;50436-6126;708683;47;Drainage of Left Parotid Duct, Open Approach, Diagnostic
Quetiapine fumarate;63629-4939;756274;25;Removal of Extraluminal Device from Epididymis and Spermatic Cord, Via Natural or Artificial Opening Endoscopic
Itchy Gone;57520-0777;2372;4;Change Other Device on Back
Flecainide Acetate;0054-0012;186598;100;Inspection of Pleura, Via Natural or Artificial Opening
Childrens Allergy Relief;11822-0025;717290;77;Removal of Synthetic Substitute from Right Femoral Shaft, Percutaneous Endoscopic Approach
Number Ten Mold Mixture;49288-0586;726863;84;Division of Accessory Nerve, Percutaneous Endoscopic Approach
TOPIRAMATE;35356-470;333840;92;Revision of Nonautologous Tissue Substitute in Left Sternoclavicular Joint, Percutaneous Approach
Kroger;30142-149;941540;12;Excision of Left Lower Leg Muscle, Open Approach, Diagnostic
Ondansetron;55045-3848;690981;94;Drainage of Left External Ear with Drainage Device, External Approach
LEVOTHYROXINE SODIUM;60760-340;748549;76;Drainage of Left Wrist Joint, Percutaneous Approach
Rhizopus oryzae;36987-2074;605915;13;Revision of Nonautologous Tissue Substitute in Scrotum and Tunica Vaginalis, Via Natural or Artificial Opening
365 Everyday Value Arnica;42681-0512;249645;70;Removal of Drainage Device from Penis, Via Natural or Artificial Opening
Anticavity Fluoride Rinse;37808-163;307819;67;Destruction of Right Upper Leg Skin, Multiple, External Approach
ck one 3-in-1 face makeup;66184-410;95645;16;Supplement Right Lower Extremity Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach
Instant Hand Sanitizer With Aloe and Vitamin E;50154-1060;349844;56;Drainage of Left Ankle Tendon, Percutaneous Endoscopic Approach
Coconut;57691-565;350540;44;Extirpation of Matter from Phrenic Nerve, Percutaneous Endoscopic Approach
Vitamin K1;55154-2388;545534;98;Restriction of Transverse Colon with Intraluminal Device, Via Natural or Artificial Opening
Equate Maximum Strength Spot Treatment;49035-022;65908;31;Insertion of Infusion Device into Right Upper Arm, Open Approach
Clamue Healthy Fresh BB Cream Medium;43526-117;412131;39;Dilation of Right Ulnar Artery, Bifurcation, Open Approach
Oxygen;64477-001;665395;35;Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Levothyroxine Sodium;51079-440;961909;98;Reposition Cervical Vertebra with Internal Fixation Device, Open Approach
Clonazepam;76237-138;409745;15;Reposition Right Ureter, Open Approach
Amoxicillin;65862-071;553333;40;Drainage of Right Ovary, Percutaneous Approach
Vanilla Cupcake Antibacterial Hand Sanitizer;50563-302;357553;21;Drainage of Acoustic Nerve, Percutaneous Approach
ideal flawless;10096-0279;724784;91;Insertion of Limb Lengthening External Fixation Device into Right Humeral Shaft, Percutaneous Approach
age renewal deep wrinkle moisturizer;68634-0029;219837;52;Drainage of Right Toe Phalanx with Drainage Device, Percutaneous Approach
Garnier Fructis Antidandruff;67718-942;622657;99;Insertion of Infusion Device into Left Brachial Vein, Open Approach
bareMinerals READY Touch Up Veil Broad Spectrum SPF 15;98132-304;481013;2;Removal of Internal Fixation Device from Left Rib, Open Approach
Proactiv;11410-402;354832;89;Bypass Right Kidney Pelvis to Bladder with Synthetic Substitute, Open Approach
Weather Changes;57955-5287;961404;17;Beam Radiation of Arm Skin using Electrons, Intraoperative
Ciprofloxacin;50436-6041;167422;34;Reposition Left Toe Phalangeal Joint, Open Approach
TRICLOSAN;53119-575;916752;93;Dilation of Right Femoral Artery with Drug-eluting Intraluminal Device, Percutaneous Approach
Antibacterial Hand Sanitizer;76138-111;756782;73;Revision of Spacer in Left Temporomandibular Joint, Percutaneous Approach
nicotine;41250-873;748551;16;Destruction of Spinal Meninges, Open Approach
Sheep Sorrel Pollen;49643-405;719653;57;Electroconvulsive Therapy, Bilateral-Single Seizure
Childrens Pain and Fever;41250-554;642155;53;Repair Left Rib, Percutaneous Approach
Kids Ear Relief;59262-273;426335;51;Repair Right Upper Leg Tendon, Percutaneous Endoscopic Approach
Cold Spot;51452-003;491626;84;Removal of Infusion Device from Bladder, Percutaneous Approach
SHISEIDO THE MAKEUP LIFTING FOUNDATION;52686-293;48813;78;Measurement of Venous Pressure, Peripheral, External Approach
Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride;57344-138;409919;76;Introduction of Destructive Agent into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic
Isoniazid;58118-0071;251692;53;Reposition Perineum Bursa and Ligament, Percutaneous Endoscopic Approach
acarbose;42291-132;352978;72;Destruction of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic
QVAR;59310-204;275847;78;Supplement Left Upper Leg with Autologous Tissue Substitute, Open Approach
Pinchot Juniper;36987-2696;200427;84;Insertion of Spacer into Left Shoulder Joint, Percutaneous Approach
OVACE Plus;0178-0485;114966;90;Introduction of Analgesics, Hypnotics, Sedatives into Ear, Via Natural or Artificial Opening
Torsemide;0603-6135;420098;63;Supplement Inferior Mesenteric Artery with Nonautologous Tissue Substitute, Percutaneous Approach
Sinus and Allergy PE;59779-702;265827;84;Removal of Autologous Tissue Substitute from Nasal Bone, Percutaneous Endoscopic Approach
Theracodeine-300;68405-398;742897;57;Insertion of Ring External Fixation Device into Right Lower Femur, Open Approach
Simply Right Nicotine;68196-300;584999;55;Release Right Basilic Vein, Open Approach
Levetiracetam;68180-118;478852;1;Replacement of Left Face Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Glyburide-Metformin Hydrochloride;23155-234;364809;9;Drainage of Epiglottis, Via Natural or Artificial Opening Endoscopic, Diagnostic
CIPROFLOXACIN;61919-421;279029;68;Drainage of Left Sphenoid Sinus, Percutaneous Endoscopic Approach
tizanidine;60505-0251;168373;56;Change Cast on Right Upper Arm
bareMinerals bareSkin Pure Brightening Serum Foundation Broad Spectrum SPF 20;98132-744;604159;82;Extirpation of Matter from Pituitary Gland, Open Approach
FormuCare Aspirin;10056-535;323118;77;Revision of Intraluminal Device in Bladder, External Approach
